,Avaliações
73,"Segunda vez que ficamos nos grous. Mais uma vez um espectáculo. Quarto amplo, com lareira, com varanda com vista para o lago. Oferta de uma garrafa de vinho, cesto de frutas e café. Se tudo já estava bom e acolhedor, estes mimos só vem aumentar a nossa satisfação.  Gaivotas no lago e redes para descansar. Animais e parque infantil para as crianças brincarem. Pequeno almoço bom com ovos mexidos, bacon, folhados de maçã, frutos secos. Pena das panquecas e waffles parecerem congelados e os jarros de sumo não estarem devidamente identificados.  Mas tal como disse no título: o optimo faz esquecer pormenores.
"
74,"É um lugar fantástico para passar uns dias relaxantes. O staff não tem mais que nos fazer, tendo sempre um sorriso e uma palavra simpática para com os clientes. Os quartos são excelentes, com uma cama e almofadas maravilhosas. O pequeno-almoço é muito bom. Aconselho a prova dos vinhos!   É um lugar onde vale a pena voltar!
"
75,"Simplicidade e natureza, tudo o que se podia esperar de melhor num hotel inserido numa herdade vinícola. O Staff é muito atencioso e ao mesmo tempo simples, fazem o hóspede sentir-se sempre o mais à vontade possível. Os vinhos e a comida... 5 estrelas! Preços acessíveis quando comparado ao habitualmente praticado. Certamente uma experiência a repetir.
"
76,"A localização é muito boa com excelentes acessos, estando longe e ao mesmo tempo perto da ""civilização"". Decoração e arquitectura campestres muito bem conseguidas. Todos os espaços muito bem cuidados. Nota-se uma especial atenção aos pormenores. Para todas as deslocações dentro da propriedade é preferivel utilizar bicicletas que estão sempre disponiveis por todo o lado.
"
77,"Eu já conhecia alguns dos excelentes vinhos da Herdade dos Grous, mas a estadia superou nossas expectativas, estando sem dúvidas entre um dos melhores destinos de enoturismo que tive a oportunidade de experimentar. A herdade é enorme e bem cuidada, com lindas paisagens dos vinhedos, dos lagos e do típico montado alentejano. Há várias opções de lazer que incluem passeios no lago, duas excelentes piscinas para se refrescar do calor da região, além de bicicletas disponibilizadas aos hóspedes para percorrer a propriedade.   As instalações são grandes e ao mesmo tempo confortáveis e aconchegantes. O quarto é muito amplo, com cama grande e confortável, TV de excelente tamanho, decoração com atenção nos detalhes, tudo de muito bom gosto. Roupas de cama e banho, roupões e amenities de
"
78,"O hotel é maravilhoso, super bem cuidado e com várias atividades legais. Adorei o fato de podermos pegar bicicletas a qualquer momento para percorrer a propriedade toda. O quarto é novo, espaçoso e confortável. Quando chegamos havia uma garrafa de vinho e uma cesta de frutas em cima da mesa como cortesia. O restaurante é excelente. Os valor das diária e do restaurante são bastante razoáveis. Os vinhos da Herdade dos Grous são todos excelentes e pudemos prová-los todos.  Pontos negativos: O wi-fi não funcionou bem no quarto, em alguns momentos não era possível conectar a rede. O horário do café da manhã é super restrito (apenas de 09:30 às 10:30) sem qualquer justificativa plausível para isso.
"
79,"Foi um excelente fim de semana, num lugar maravilhoso, relaxante, em convívio directo com a natureza, bicicletas para podermos percorrer toda a herdade, gaivotas para desfrutarmos do lago, piscinas para nos refrescarmos, tudo com muita comodidade, instalações muito boas e acolhedoras, refeições muito bem confeccionadas e variadas. Enfim ! 5 estrelas !
"
80,"O alojamento na Herdade dos Grous é simultaneamente sumptuoso a aconchegante. Os quartos, sempre muito elegantes, bem arrumados e de generosa dimensão, convidam ao descanso... O pequeno almoço, de excelente qualidade e variedade, deixa-nos água na boca. No restaurante, os pratos típicos da região, são servidos com a qualidade, quantidade e elegância que faz jus à categoria do melhor que já conheci.
"
81,"A herdade é linda e bem estruturada. A barragem, os percursos para fazer a pé, de bike, de canoa, de gaivota, as piscinas, os animais, etc. Tudo foi bem pensado para que seja considerado um dos melhores resorts de Portugal. Pequeno almoço de excelência onde não falta nada. O queijo de Serpa, a fruta, os doces tradicionais, os frutos secos, etc. O Restaurante é bem agradável e prepara-se para um festival de sabores. O Vinho é a ""cereja no topo de bolo"". Os quartos são fantásticos com imensas cortesias/ofertas, onde o vinho da herdade está incluído. O conceito de resort, foi adaptado à Herdade Alentejana, pelo casal Alemão com sucesso total. Não percam esta experiência de laser. Parabéns.
"
82,"Espaços exteriores e interiores fabulosos, muito bem organizados com manutenção extremamente cuidada. As acomodações são espaçosas, extremamente comodas, apetrechadas e bem  decoradas De elogiar o staff , através do seu profissionalismo e simpatia constantemente demonstrada.  Os ""mimos"" com os quais fomos agraciados à chegada, fez-nos sentir agradavelmente acolhidos. Ficamos fãs  da Herdade dos Grous... decididamente iremos voltar !
"
83,"Fim de semana bastante agradável, ideal para famílias. A experiência da prova de vinhos e o jantar extraordinários. Os quartos espaçosos e aconchegantes. Os miúdos adoraram.  Este hotel é digno de repetir.
"
84,"Ultrapassou largamente todas as minhas expectativas, desde o acolhimento com funcionários muito simpáticos e profissionais, as instalações excelentes com muito bom gosto e bem cuidadas ao envolvimento da Herdade que tem paisagens magnificas. A degustação dos vinhos foi ótima e o jantar fabuloso. A repetir sem dúvida a curto prazo!
"
85,"Um lugar fantástico e acolhedor para reuniões de trabalho, o alojamento é generoso e acolhedor, e as áreas são muito boas para teambuilding, o restaurante é regional e os produtos são maioritariamente da própria Herdade, atividades para todos os gostos, foi a primeira vez que visitei, e espero lá voltar com a familia.
"
86,"Lugar ideal para quem procura descansar e relaxar no meio da natureza e planície alentejana....ambiente típico.....leque variado de actividades turísticas...em suma excelente e sem dúvida uma experiência a repetir...parabéns e continuem assim porque vocês merecem...o Alentejo merece...
"
87,"Das melhores experiências enoturísticas disponíveis no nosso país. Atendimento cuidado, herdade tranquila. Piscinas e bicicletas sem custo. Não poderia ser melhor para quem quer descansar. Pequeno-almoço de óptima qualidade. Quartos espaçosos e imaculados. Adoramos.
"
88,"Tudo perfeito. O lugar é belíssimo com ambientarão rústica típica alentejana com um toque de luxo e funcionalidade. Tudo muito bem cuidado e aconchegante. Estávamos com nosso filho de 3 anos que adorou a herdade. Passeio a cavalo. Muito animais. Bicicletas com cadeirinha disponíveis para os hóspedes sem taxa. Café da manhã muito bom! Restaurante e serviço impecáveis.
"
89,"Ótimo local para disfrutar das paisagens e da gastronomia alentejanas. A herdade associa a atividade turística à agricultura e á produção de vinhos, tudo em boa harmonia. Localização isolada e tudo espaçoso, dos 700 Hectares da propriedade à dimensão dos quartos. Muitas opções para ocupar o tempo, sem ter que obedecer a horários e a grupos. Bicicletas disponíveis por todo o lado, que facilitam as deslocações entre os alojamento e as restantes áreas. Bom serviço de restaurante com gastronomia alentejana com um toque gourmet e um pequeno almoço diversificado e com um ar fresco e caseiro. O serviço é esmerado e atencioso sem ser chato...enfim aquele charme especial que os alentejanos têm para receber. muito bom.
"
90,"Excelente espaço para descontrair, empregados super simpáticos e prestáveis, vale a pena visitar/conhecer a adega e fazer um dos workshops existentes na herdade. A herdade proporciona muitas atividades aos seus clientes, vão desde bicicletas, passeios a cavalos, gaivotas e caiaques no lago, etc. Foi um fim de semana espectacular.
"
91,"Acabei de viver a festa de aniversário surpresa, mais romântica,divertida,desportiva de sempre. O profissionalismo,a simpatia e a elegância de 5 🌟está em toda a herdade. Por sermos um grupo grande deu para várias pessoas  experimentarem os  variados desportos oferecidos desde andar de canoa, bicicleta, corrida, jogar tênis, bilhar, matraquilhos etc. e os comentários foram unânimes. Maravilhoso! Os quartos são tão amplos, confortáveis e tão acolhedores que nos temos que obrigar a sair. Como não podia deixar de ser o vinho foi o convidado de eleição e depois de uma visita guiada pela simpática senhora Diana ficamos rendidos ao 23 barricas. No peq. almoço até os mais pequeninos ficam com apetite, de tão variada que é a oferta. Poder ter partilhado esta experiência com que amamos,
"
92,"Que lugar maravilhoso! Super limpo e bem preservado, belas vistas, tranquilo, com uma grande variedade de atividades para escolher, bicicletas com um sit para bebês, um bom restaurante dentro, ótimo café da manhã (aqueles croissants, eu quero que todos os dias), a lista continua . . . O quarto era muito espaçoso, a cama era grande e confortável, grande armário também. Houve um pacote de boas vindas incluindo fruta, chocolates e uma garrafa do seu vinho muito bom (não sou amante de vinhos, mas a Herdade dos Grous se destaca). A única desvantagem, a nossa estadia foi muito curta! Definitivamente para voltar.
"
93,"Ótimo resort com instalações agradáveis. Dormimos no edifício principal perto do restaurante. Outros quartos estão localizados em outros dois locais. Bicicletas gratuitas no resort para ir às diferentes piscinas e explorar os arredores. Muitos pássaros, veados e raposas.  Ótima comida e excelente vinho!
"
94,"No ano passado fomos para a herdade da porta ao lado que apesar de ser adorável não fez realmente uma prova de vinhos decente. A degustação de vinhos foi excelente, equipe encantadora, linda sala & jantar fabuloso. Arredores lindos
"
95,"Tivemos grandes esperanças para a visita a este lugar, e não ficamos desapontados. É um lugar incrível, repleto de natureza. O alojamento foi perfeito, a equipe não poderia fazer mais para útil, e arredores foram fôlego. Uma expectativa de visitar uma vinícola poderia ser apenas para experimentar os vinhos, mas aqui há muito mais para experimentar, foi verdadeiramente mágico. Nós, sem dúvida, visitar novamente, da próxima vez para uma estadia mais longa e pode até mesmo se tornar uma coisa regular!
"
96,"Fomos a esta adega por uma noite porque alguns dos nossos amigos adoraram. Eu não estava tão impressionado. Os quartos e banheiro foram nice e confortáveis, mas carecido personalidade. A degustação de vinhos foi muito caro para o preço médio de vinhos em Portugal e tenho de dizer que para alguém que ama degustação de vinhos e beber, voltamos vazios entregues como eu não acho que nenhum dos seus vinhos oferecido gosto superior para o preço. O jantar no restaurante no entanto foi excelente e todos os cursos preparados com perfeição.
"
